,no_internet,population,unemp,health_ins,poverty,SNAP,broad_num,broad_avail,broad_cost,all25_bbn
"Powder River County, Montana",18.9,1682,2.4,11.4,10.4,2.5,2,38,65,5
"Powell County, Montana",28.4,6890,3.6,8.9,12.7,13,3,54.8,69.99,3.821223287
"Ravalli County, Montana",22.2,43806,4,11.6,14.3,11.4,2,47.6,69.99,4.844116762
"Richland County, Montana",23.3,10803,2.7,11,5.4,4,2,86.2,99.76,6.640244634
"Roosevelt County, Montana",34.2,11004,4.3,25,28.3,16.1,2,73.9,116.65,5.347652348
"Rosebud County, Montana",32.5,8937,5,19.7,18.7,9.2,3,45.7,79.98,4.754626163
"Sanders County, Montana",31.5,12113,5.9,15.5,19.5,15.4,1,24,249,3.399091782
"Sheridan County, Montana",20.7,3309,2.2,8.1,11,7.8,2,86.3,125,4.843809524
"Silver Bow County, Montana",27.5,34915,3.8,7.9,19.1,17.3,3,89.7,84.95,5.926053134
"Stillwater County, Montana",18.5,9642,3.1,7.1,6.4,4,6,62.9,97.23,6.503167421
"Sweet Grass County, Montana",26.4,3737,2.8,4.9,7.9,6.8,2,86.7,84.5,6
"Teton County, Montana",26.1,6147,3.3,11.2,13.3,7.4,1,27,74.5,5.524300734
"Treasure County, Montana",22.7,696,2.7,4.9,16,6.6,3,53.1,84.98,5.787610619
"Valley County, Montana",25.7,7396,3.2,7.8,9.1,11.3,2,82.1,116.65,4.840245776
"Wheatland County, Montana",28.4,2126,3.8,13.7,17.2,8.5,2,94.8,99.48,3
"Wibaux County, Montana",38,969,3,14.5,15.8,6.6,3,7.4,87.45,4
"Yellowstone County, Montana",17.6,161300,3.2,8.8,9.9,8.2,4,94.7,95.04,7.157909326
"Adams County, Nebraska",20.6,31363,3.2,7.1,13,10.5,7,98.7,71.99,8.853678012
"Antelope County, Nebraska",27.1,6298,2.6,6.6,12.6,8.3,4,86.8,56.25,5.882058501
"Arthur County, Nebraska",26.9,463,5.4,10.3,10.3,2.6,5,94.9,56.66,5
"Blaine County, Nebraska",20.6,465,5,6.7,12.5,3.2,4,93.3,60.99,3.309468822
"Boone County, Nebraska",20.3,5192,2.7,5.6,6.1,4.5,4,77.6,61.66,4.663664768
"Box Butte County, Nebraska",22.6,10783,3.2,7.6,11.9,9,6,89,49.99,7.741486068
"Boyd County, Nebraska",30.7,1919,3.3,13.1,10.6,5.6,4,81.5,69.99,3.714700193
"Brown County, Nebraska",27.5,2955,3.5,10.8,15.2,3.6,4,73.1,63.31,7.646668876
"Buffalo County, Nebraska",17.3,49659,2.6,8.4,14.1,8.1,8,93.9,57.98,6.999073795
"Burt County, Nebraska",31,6459,3.4,9.3,11.7,8.2,5,99,56.99,6.516560139
"Butler County, Nebraska",23.9,8016,2.6,4.8,7.5,7.1,7,96.7,58.99,6.574639138
"Cass County, Nebraska",17,26248,3.3,6.1,6.4,5.6,9,99.5,68.4,6.227737571
"Cedar County, Nebraska",21.1,8402,2.5,5.9,9.1,5,7,97.6,58,5.388025331
"Chase County, Nebraska",18.7,3924,2.3,8.5,8.4,3.6,4,98,69.99,6.451013514
"Cherry County, Nebraska",23.3,5689,2.4,6.9,10.5,8.6,5,99.9,69.99,6.326123128
"Cheyenne County, Nebraska",24.5,8910,3.7,7.3,10,8.7,5,55.3,69.99,8.266042781
"Clay County, Nebraska",22.7,6203,3.2,9.9,11.4,6.9,6,99,63.33,6.019062339
"Colfax County, Nebraska",26.1,10709,2.7,11.7,12.4,8.3,9,82.7,69.39,8.790156892
"Cuming County, Nebraska",31.5,8846,2.7,7.6,7,5.3,3,73.9,59.63,8.0368862
"Custer County, Nebraska",28.6,10777,2.4,9.4,11.2,7.4,3,92.8,59.99,5.236041551
"Dakota County, Nebraska",24.2,20026,3.9,14.2,16.6,12.9,2,61.6,42.95,4.922088517
"Dawson County, Nebraska",22.9,23595,3,11,13.1,9.3,7,82.4,59.97,4.364952719
"Dixon County, Nebraska",26.6,5636,3.1,6.3,12.5,7.2,6,99.6,64.97,6.255397727
"Dodge County, Nebraska",23.5,36565,2.9,9.9,13.7,11.3,7,98.6,67.99,8.6672908
"Douglas County, Nebraska",16.8,571327,3.3,9.6,12.7,10.3,5,99.5,69.99,5.735027129
"Dundy County, Nebraska",28.6,1693,2.6,19.3,10.3,8.7,11,99.6,61.31,3
"Fillmore County, Nebraska",25.9,5462,2.6,7.9,10,7.7,4,99.4,59.99,5.989692586
"Franklin County, Nebraska",27.8,2979,3.4,4.7,13.8,8.5,3,65.2,63.31,3.465254237
"Frontier County, Nebraska",31,2627,3.3,8.2,10.3,5.9,5,99.2,60,4
"Gage County, Nebraska",22.3,21513,3.6,4.8,9.8,9.8,11,100,56.66,6.400020239
"Garfield County, Nebraska",39.6,1969,2.7,3.8,7.5,6.5,5,99.8,63.33,5
"Gosper County, Nebraska",20.6,1990,2.6,4,5.1,3.1,3,62.5,69.99,3.706319703
"Grant County, Nebraska",27.6,623,2.8,14.7,19.9,3.4,1,52.9,59.99,3.562285714
"Greeley County, Nebraska",30.9,2356,2.9,5.8,9.5,3.3,5,87.3,63.33,3.682730924
"Hall County, Nebraska",20.7,61353,3.5,13.1,13,12.1,4,39,54.99,9.362312384
"Hamilton County, Nebraska",14.5,9324,3,6,4.9,4.2,10,99.8,66.59,6.371653358
"Hitchcock County, Nebraska",29.3,2762,3.4,12.8,12.7,8.9,4,80.7,63.33,3.824851702
"Holt County, Nebraska",27.8,10067,2.6,6.5,8.4,2.9,7,92.3,61.65,7.765436097
"Hooker County, Nebraska",32.3,682,3.1,7.5,17,4.7,6,81.4,69.99,4
"Howard County, Nebraska",25.7,6445,3.5,5.8,10.5,7.4,6,91.2,69.99,6.85516229
"Jefferson County, Nebraska",27.3,7046,2.7,5.7,12,9.7,3,22.8,45,6.804816726
"Johnson County, Nebraska",27.3,5071,3.5,7,9.4,8.5,11,98,59,5
"Kearney County, Nebraska",21.4,6495,2.3,6.4,10.6,6.4,3,35.5,68.31,6.860849057
"Keith County, Nebraska",19.2,8034,3.2,8.6,11.7,6.9,7,95.3,68.4,6.659321614
"Keya Paha County, Nebraska",22.4,806,2.5,5.2,6.1,1.5,6,60.8,52.49,4
"Kimball County, Nebraska",30.4,3632,3,11.8,9.5,9.9,5,97,68.97,6.828213879
"Knox County, Nebraska",26.9,8332,3,9.2,10.9,7.3,4,89.4,54.99,5.141487603
"Lancaster County, Nebraska",13.7,319090,2.8,7.3,13.1,8.3,5,98.3,63.33,6.09479439
"Lincoln County, Nebraska",21.4,34914,3.5,9.5,12.2,10.9,3,58,74.95,6.683270518
"Logan County, Nebraska",29.6,748,3,6.5,7.9,3.8,2,52.2,59.98,6
"McPherson County, Nebraska",40.4,494,2.7,3.7,17,3,4,77.7,66.24,9.53663259
"Merrick County, Nebraska",27,7755,3.2,7.4,10.6,7.5,3,90.2,65,6.308277326
"Morrill County, Nebraska",26.3,4642,2.9,10.4,8.7,9.7,6,59.6,68.97,5.438337802
"Nance County, Nebraska",24.7,3519,3,7.3,11.3,10.6,8,91.1,68.97,5.397145934
"Nemaha County, Nebraska",22.1,6972,3.7,6.5,12.4,7.2,6,93.5,54.99,6.11566081
"Nuckolls County, Nebraska",26.1,4148,2.7,6.9,12.2,7.5,5,99.9,63.33,6.10962648
"Otoe County, Nebraska",22.1,16012,3.2,6.4,11.2,8.9,4,84.1,69.99,5.678762469
"Pawnee County, Nebraska",31.3,2613,2.9,12.1,15.6,6.7,5,99,69.99,5.480694981
"Perkins County, Nebraska",16.4,2891,2.3,6.6,5.5,2.2,7,95.6,60,5.059376174
"Phelps County, Nebraska",22.1,9034,2.6,4.1,8.8,6.3,6,87,52.49,3.782530982
"Pierce County, Nebraska",21.4,7148,2.7,3.7,7.3,5.6,6,99.9,69.99,5.931132075
"Platte County, Nebraska",21.9,33470,2.9,8.8,8.3,5.7,6,79.7,63.33,8.760799295
"Polk County, Nebraska",17.1,5213,2.8,10.8,7.8,5.5,6,93.6,69.99,6.866291344
"Red Willow County, Nebraska",25.4,10724,2.8,7.3,9.7,6.2,5,87.2,69.99,8.435855856
"Richardson County, Nebraska",24.5,7865,3.2,6.8,13.2,9.8,6,96.4,52.49,4.272115255
"Rock County, Nebraska",28.6,1357,3.1,13,7.4,4,6,73.6,58.33,6
"Saline County, Nebraska",23.2,14224,3.2,11.1,13.5,7.9,8,97.8,64.49,6.35317124
"Sarpy County, Nebraska",9.8,187196,2.9,5.7,5.4,5.2,7,94,58.75,5.19813615
"Saunders County, Nebraska",20.3,21578,2.8,4.7,8.4,5.9,6,84.7,62.49,7.032529502
"Scotts Bluff County, Nebraska",24.1,35618,3.7,11.5,13.4,11.7,4,97,63.33,7.142242624
"Seward County, Nebraska",18.5,17284,2.9,5.4,7.5,4,9,98,68.39,7.500808056
"Sherman County, Nebraska",24.5,3001,3.2,9.1,11.4,7,4,64.5,54.98,5.665327979
"Stanton County, Nebraska",19.3,5920,2.6,7.1,8.8,7.2,5,98.1,63.33,9
"Thayer County, Nebraska",24.4,5003,2.7,4.8,8.4,9.5,8,96.8,54.98,4.631091422
"Thomas County, Nebraska",17.8,722,3.5,7.1,10.7,0,5,98.5,57.47,4.814111262
"Thurston County, Nebraska",36,7224,4.5,25.6,28.3,21.6,1,47.2,59.99,4.586175396
"Valley County, Nebraska",28.1,4158,3.2,9.5,10.6,7,3,83.9,57.47,3.876215953
"Washington County, Nebraska",16.8,20729,2.9,4.7,8.1,8.6,3,85.8,59.99,5.1922216
"Wayne County, Nebraska",14.9,9385,2.6,3.6,14.2,3.4,4,98.8,63.98,6.57340689
"Webster County, Nebraska",25.2,3487,3.5,8.2,11,9.2,5,96.5,69.99,4.142379851
"Wheeler County, Nebraska",25.5,783,2.8,11.9,9.2,5.3,10,99.9,71.83,4
"York County, Nebraska",19.4,13679,2.7,6.8,10.1,6.2,3,71.8,69.99,8.202339472
"Churchill County, Nevada",17,24909,3.5,12.1,12.8,11.1,4,93.6,45,6
"Clark County, Nevada",18.5,2266715,4,12.5,14.1,13,4,97.9,58,5.021711348
"Douglas County, Nevada",13.1,48905,3.9,9.7,9.3,7,7,96.8,56.25,3.943317991
"Elko County, Nevada",17.1,52778,3,9.9,11.9,6.1,5,99.3,56,4.486827504
"Esmeralda County, Nevada",47.4,873,3.7,14.2,7.2,7.5,7,98.3,48.31,3.590038314
"Eureka County, Nevada",22.4,2029,2.4,9.6,7.7,4.1,4,99.3,59.99,3
"Humboldt County, Nevada",21.8,16831,2.9,13.2,11.5,6.3,3,91.2,65,4.973890971
"Lander County, Nevada",21.7,5532,3.2,7.6,14.9,12,3,100,58.22,3.09309411
"Lincoln County, Nevada",23.6,5183,4,7.2,6.8,8.5,7,92.1,53.38,4
"Lyon County, Nevada",17.3,57510,4.7,8.8,11.6,12.4,1,37.6,61.95,6.372315419
"Mineral County, Nevada",30.4,4505,4,13.1,23.6,14.9,4,64.8,57.47,3.987503254
"Nye County, Nevada",25.7,46523,5.1,10.9,16.2,14.5,4,92.7,50.45,4.828217617
"Pershing County, Nevada",29.1,6725,4,14.6,15.1,12.8,2,100,40.97,3
"Washoe County, Nevada",16.2,471519,3.2,10.2,12.2,9.9,4,99.4,64.95,8.131361518
"White Pine County, Nevada",20.2,9580,3,9.4,10.9,7.2,8,96.4,50.19,3.839514349
"Carson City, Nevada",20.3,55916,3.9,10.6,13.7,12.4,4,100,57.28,7.79955672
"Belknap County, New Hampshire",14.9,61303,2.5,8.2,8.7,8.2,1,99.8,74.99,5.054976688
"Carroll County, New Hampshire",14.8,48910,2.5,9.8,9.6,7.8,4,98.5,125,4.849186335
"Cheshire County, New Hampshire",17.4,76085,2.6,7.1,9.9,8.2,5,99.3,58.3,4.927660067
"Coos County, New Hampshire",23.8,31563,3.2,8.9,12.8,13.5,4,93.2,54.21,3.879463722
"Grafton County, New Hampshire",17.5,89886,2.2,7.9,9.9,7.2,1,100,59.99,4.461103205
"Hillsborough County, New Hampshire",11.4,417025,2.6,6.4,8.1,7.9,3,100,54.21,5.563805342
"Merrimack County, New Hampshire",14.2,151391,2.3,6.1,7.2,8.2,4,65.4,66.71,5.022485785
"Rockingham County, New Hampshire",9.7,309769,2.7,4.8,4.7,3.8,4,89.1,48.99,5.24793688
"Strafford County, New Hampshire",15,130633,2.3,7,10,8.4,1,96.4,60.98,5.237944075
"Sullivan County, New Hampshire",19.4,43146,2.3,7.2,10.8,9.1,6,91.5,54.21,3.948122459
"Atlantic County, New Jersey",18.8,263670,5.1,9.3,14.3,14,2,100,49.98,3.884711447
"Bergen County, New Jersey",11.1,932202,2.9,8.3,7,5.1,2,100,64.95,5.235020705
"Burlington County, New Jersey",12.3,445349,3.3,4.6,6.5,5.4,1,100,62.47,4.245248557
"Camden County, New Jersey",17.6,506471,4,7.5,12.6,12,3,100,62.47,4.098184283
"Cape May County, New Jersey",16.9,92039,7.2,6,11.1,6.8,4,77.4,52.75,3.811212452
"Cumberland County, New Jersey",25.1,149527,5.5,10.4,17.6,17.2,2,100,74.99,3.979125222
"Essex County, New Jersey",21.2,798975,4.5,12.3,16.4,15.1,3,85.2,88.64,5.023216503
"Gloucester County, New Jersey",13.5,291636,3.7,4.6,7.4,8.1,7,96.3,61.95,4.216418411
"Hudson County, New Jersey",16.3,672391,3.3,14.1,16.3,15.6,2,100,64.95,5.645352265
"Hunterdon County, New Jersey",10,124371,2.8,2.9,4.8,3.4,4,95.7,64.95,5.768779829
"Mercer County, New Jersey",18.1,367430,3.2,8.2,11.4,8.6,6,91.7,70.2,5.281843068
"Middlesex County, New Jersey",14.7,825062,3.1,7.6,8.5,6.1,2,100,58.48,5.099613359
"Monmouth County, New Jersey",12.3,618795,3.2,6.3,7.4,6.2,2,91.9,64.95,4.794994081
"Morris County, New Jersey",9.5,491845,2.8,5.1,4.6,3.2,3,100,54.95,4.692569496
"Ocean County, New Jersey",18.7,607186,3.7,6.7,10.7,7.1,3,99.7,54.45,4.410062867
"Passaic County, New Jersey",21.3,501826,4.3,12.4,16.7,19.5,3,100,55.95,4.8704069
"Salem County, New Jersey",21.5,62385,4.8,6.4,13,13.4,4,99.3,63.31,3.52473741
"Somerset County, New Jersey",9,328934,3,5.3,4.7,2.8,5,91.1,58.35,6.142421107
"Sussex County, New Jersey",11.3,140488,3.4,4.8,5.1,3.4,5,88.6,53.37,5.512428947
"Union County, New Jersey",18,556341,3.7,11.8,9.8,8.4,3,92.7,54.45,4.926719119
"Warren County, New Jersey",15.2,105267,3.3,6.2,7.8,6.6,3,100,66.3,6.125747067
"Bernalillo County, New Mexico",21.7,679121,4.4,9.2,17.4,15.3,3,100,62.62,6.732078967
"Chaves County, New Mexico",29.6,64615,4.9,11.7,20.6,21.8,1,99,31.99,6.322438727
"Cibola County, New Mexico",43.4,26675,6.3,11.1,26.5,29.8,5,99.2,54.97,4.677706449
"Colfax County, New Mexico",33.2,11941,4.7,8.1,23.8,20,5,66.9,52.48,3.829102309
"Curry County, New Mexico",22,48954,4.1,12.3,20.6,17.1,3,98.4,52.97,4.95542528
"De Baca County, New Mexico",37,1748,4.3,7.9,16.8,15.9,3,87.2,57.28,3
"Doña Ana County, New Mexico",29.1,218195,5.7,11.3,27.7,23.9,5,85.5,49.95,5.355579116
"Eddy County, New Mexico",21.5,58460,3.1,10.2,15.3,14.3,3,86.5,49.95,6.542190238
"Grant County, New Mexico",32.3,26998,4.8,4.1,21.8,18.8,5,95.6,58.35,5.671003881
"Guadalupe County, New Mexico",60.5,4300,5.3,2.3,14.5,16.2,3,97.5,57.55,3
"Harding County, New Mexico",50.7,625,5.1,2.4,18.3,3.8,5,96.5,89.97,3
"Hidalgo County, New Mexico",35.8,4198,4.3,4.9,28.1,24.7,4,93.5,71.47,2.23341009
"Lea County, New Mexico",24,71070,3.9,14.1,16.6,15.3,5,56.1,60.5,7.992176221
"Lincoln County, New Mexico",30.3,19572,4.6,10.2,16.2,13.2,3,76.5,76.62,5.925143549
"Luna County, New Mexico",42.7,23709,12.2,9.8,30.2,28.8,2,39.1,94.95,4.850727237
"McKinley County, New Mexico",55.8,71367,7,20.9,36,26.4,3,55.6,60,4.539921551
"Mora County, New Mexico",48.7,4521,6,6.2,19.3,31.2,5,94.2,69.98,2.88472865
"Otero County, New Mexico",24,67490,4.9,10.3,21.2,16.4,2,99.2,89.95,5.29152243
"Quay County, New Mexico",42.6,8253,5.2,7.2,22.1,17.9,4,82.7,89.95,3
"Roosevelt County, New Mexico",24.7,18500,4.5,13.6,25.6,19.9,2,75.2,49.95,4.924942085
"Sandoval County, New Mexico",17.3,146748,4.8,9.8,14.3,10.9,4,63.8,69.99,8.000563973
"San Juan County, New Mexico",36,123958,5.7,14.5,21.3,17.8,4,81.2,66.48,6.391347512
"San Miguel County, New Mexico",47,27277,5.8,7.3,27.7,26.2,6,71.7,72.5,3.892482847
"Santa Fe County, New Mexico",20.7,150358,3.9,12.3,12.8,9.9,5,71.3,57.55,8.486620213
"Sierra County, New Mexico",37.9,10791,6.8,6.4,24.9,23.4,6,62.6,82.46,4.684995526
"Socorro County, New Mexico",46.2,16637,5.8,12,29.1,15.8,4,70.6,69.98,3.764482635
"Taos County, New Mexico",37.4,32723,6,10.8,19.4,17.4,3,64.9,49.95,4.665895657
"Torrance County, New Mexico",37.2,15461,6.8,7.8,25.8,20.1,2,21.9,60,4.944826544
"Union County, New Mexico",41.8,4059,3.5,15.2,14.1,14,5,64.6,55,3.076106653
"Valencia County, New Mexico",32.2,76688,5.3,8.6,19.5,19.9,7,44.8,87.96,5.453975891
"Albany County, New York",17.3,305506,3.6,4,12,11.6,6,90.5,55,6.746665091
"Allegany County, New York",25.9,46091,5.5,6.9,17,15.9,5,82.9,69.98,3.870628542
"Bronx County, New York",27.2,1418207,5.4,9.7,29.1,36.2,6,83.2,74.3,4.410440657
"Broome County, New York",19.5,190488,4.7,4.2,17,15.7,1,6.7,69.98,4.929404283
"Cattaraugus County, New York",29.8,76117,5.1,7,16.5,17.5,6,86.2,60,3.685250094
"Cayuga County, New York",22,76576,4.3,5.4,11.7,13.4,6,92.2,70.16,3.872192871
"Chautauqua County, New York",25.4,126903,4.7,5.5,18.7,19.2,3,98.7,73.99,6.420479455
"Chemung County, New York",21.6,83456,4.2,4.6,14.8,15.1,1,81.1,55.1,4.902285938
"Chenango County, New York",22.5,47207,4.4,4.7,14.3,16.7,2,60.7,69.98,4.727100341
"Clinton County, New York",20.9,80485,4.4,4.4,15.3,16.7,3,36.1,59.97,3.904746644
"Columbia County, New York",22.4,59461,3.2,4.7,11.9,11,3,13.5,89.95,8.446891285
"Cortland County, New York",27.7,47581,4.9,4.3,15.5,14,1,25.8,61.48,3.782669491
"Delaware County, New York",25.2,44135,4.7,6,16.2,14.3,3,73.3,53.3,4.987385923
"Dutchess County, New York",14,294218,3.6,5,9.1,9,4,23.3,86.62,5.445324068
"Erie County, New York",21,918702,4.3,3.7,14.5,16,1,0.6,82.47,4.259247137
"Essex County, New York",22.2,36885,4.7,3.9,9.5,11.3,3,18.8,73.31,4.250588346
"Franklin County, New York",26.5,50022,4.9,6.5,18.2,16.7,2,26.5,89.95,5.299100576
"Fulton County, New York",24.5,53383,5,6.3,15.5,14.4,2,18.8,99.95,3.179640361
"Genesee County, New York",21,57280,3.9,4.1,11.4,11.7,5,92.2,69.97,3.521905108
"Greene County, New York",27.5,47188,4.5,5.5,13.3,7.7,5,17.3,56.77,7.126955051
"Hamilton County, New York",26.2,4416,6,6.8,6.9,8.2,1,2.5,61.48,2.343645485
"Herkimer County, New York",23.1,61319,4.9,5.9,14.6,17.3,1,3.9,72.53,3.277710835
"Jefferson County, New York",17.2,109834,5.6,6,14.2,16.1,1,2.6,57.55,3.279016527
"Kings County, New York",22.1,2559903,4.1,8.2,21.1,23,8,64.6,86.95,5.689072544
"Lewis County, New York",23.4,26296,5.5,6.6,14.1,15.2,2,24.6,89.95,4.528026161
"Livingston County, New York",18.3,62914,4.2,3.3,13.6,12.8,3,43.6,81.97,3.180357397
"Madison County, New York",18.9,70941,4.5,4.8,9.9,12.2,4,65.9,69.96,4.131928321
"Monroe County, New York",17.8,741770,4.2,3.8,14.7,15.1,3,50,69.99,3.891539371
"Montgomery County, New York",25.4,49221,5.1,6.6,19.9,20.3,5,87,69.97,3.595509549
"Nassau County, New York",10.8,1356924,3.4,4.8,5.7,4.5,5,70.3,73.3,4.805137482
"New York County, New York",16.5,1628706,3.5,5.8,16.6,13.4,2,97,89.95,8.065068452
"Niagara County, New York",22.8,209281,5,3.6,13.4,12.4,3,73.1,71.24,3.658335397
"Oneida County, New York",21.2,228671,4.3,4.2,16.1,17.1,3,63.5,77.97,3.213807922
"Onondaga County, New York",20.7,460528,3.9,4.1,14.6,14,3,96.7,65.19,4.336871086
"Ontario County, New York",16.6,109777,3.9,4,9.6,9.6,5,85.7,75.18,4.072173921
"Orange County, New York",23,384940,3.8,5.2,11.8,9.8,1,44.4,89.95,4.640274668
"Orleans County, New York",21.3,40352,4.7,5.5,14.3,15.8,2,2.8,94.95,3
"Oswego County, New York",17.7,117124,5.4,5,17.9,17.4,3,46.2,69.95,4.138440059
"Otsego County, New York",21.7,59493,4.2,5.7,15.4,11.7,4,89.6,67.75,4.014472721
"Putnam County, New York",8.9,98320,3.7,4.6,5.3,3.7,6,58.9,65,5.502706313
"Queens County, New York",17.8,2253858,3.5,10.5,13,13.3,3,58.8,69.98,5.011241198
"Rensselaer County, New York",15.9,158714,3.8,4.3,12,11,3,49.4,60,6.872279055
"Richmond County, New York",18.5,476143,3.9,4.9,12.8,12,5,75.1,73.31,4.257331513
"Rockland County, New York",19.1,325789,3.6,6.1,14.3,11.5,2,63,49.95,4.52288995
"St. Lawrence County, New York",21,107740,5.5,5.9,17.7,16.4,4,81.6,66.48,5.159619135
"Saratoga County, New York",11.9,229863,3.4,3.5,6.2,7.4,3,56.7,59.97,5.639455718
"Schenectady County, New York",17.2,155299,3.8,4.8,11.4,13.2,3,39.6,79.97,6.180638289
"Schoharie County, New York",26.3,30999,4.7,4.2,13.2,13.5,3,83.3,59.98,4.738220408
"Schuyler County, New York",23.3,17807,4.7,5.6,13.9,13.4,6,73.2,67.75,5.691230241
"Seneca County, New York",22.2,34016,3.8,9.6,12.4,11.6,3,79.4,69.99,3.869539291
"Steuben County, New York",24.8,95379,4.6,5.8,14,13.5,2,54.7,74.99,4.635209965
"Suffolk County, New York",12.7,1476601,3.7,5.4,7.1,6.6,5,84.6,57.55,4.38456121
"Sullivan County, New York",21.3,75432,4,6.1,14.7,14.1,3,92.5,79.98,3.307093083
"Tioga County, New York",19,48203,4.1,4.4,10.5,13.9,3,83.2,96.63,5.642199704
"Tompkins County, New York",15.3,102180,3.6,3.7,19.6,9,3,80.1,69.99,7.331278486
"Ulster County, New York",15.3,177573,3.8,5.9,13.9,11.3,4,96.8,65.33,4.009807182
"Warren County, New York",17.6,63944,4.6,5,10.5,12,4,75.4,67.99,4.539170792
"Washington County, New York",22.5,61204,4.1,6.4,12,15.3,4,87,69.98,4.634995206
"Wayne County, New York",22.7,89918,4,5,11.3,11.4,5,75,60,3.073147775
"Westchester County, New York",14.7,967506,3.8,6.8,9.2,8.5,3,64,74.98,5.425894152
"Wyoming County, New York",23,39859,4.4,4.2,10.9,11.1,1,44,82.47,3.167896629
"Yates County, New York",27.6,24913,3.7,18.8,11.4,9.9,5,16.5,60,3.892125039
"Alamance County, North Carolina",23.7,169509,3.8,11.9,16.8,15.4,3,76,67.48,8.281129206
"Alexander County, North Carolina",29.9,37497,3.3,10.8,14.9,12.3,4,68.8,59.99,5.857439031
"Alleghany County, North Carolina",29.3,11137,4.8,11.2,24.6,19.5,2,34,89.95,3.781641302
"Anson County, North Carolina",30.2,24446,4.2,12.2,19.8,21.9,3,47.5,78,5.578871366
"Ashe County, North Carolina",29.9,27203,3.7,11.9,18,14.6,1,53.7,89.96,4.615078281
"Avery County, North Carolina",32.4,17557,3.7,15,14.4,14.1,4,70.5,74.18,4.746630728
"Beaufort County, North Carolina",34,46994,4.6,10.4,19.2,17,5,78.9,72.5,6.695915981
"Bertie County, North Carolina",43.6,18947,4.8,10.4,23,26.3,3,86.8,49.95,5.610756897
"Bladen County, North Carolina",34.2,32722,4.8,14,26,26.7,1,54.2,94.12,4.766837388
"Brunswick County, North Carolina",18.1,142820,5.2,11,12.9,11.9,3,82.3,61.63,6.278960562
"Buncombe County, North Carolina",18.8,261191,3,10.2,12.3,9.5,4,98.3,58.78,7.932141528
"Burke County, North Carolina",30.9,90485,3.7,12.3,18.1,15.3,5,96.3,58.78,10.96047814
"Cabarrus County, North Carolina",11.8,216453,3.6,7.8,10.9,9.2,4,80.5,62.66,7.078471706
"Caldwell County, North Carolina",24.4,82178,4.1,12.6,16.6,15.4,2,82.1,53.99,9.301569382
"Camden County, North Carolina",15.6,10867,3.9,8.1,11.2,10.3,5,92.7,59.68,5.164283984
"Carteret County, North Carolina",17.3,69473,4.2,11.4,11.6,10.8,7,98,100.64,4.995012659
"Caswell County, North Carolina",36,22604,4.5,9,19.6,16.5,6,97,54.77,5.138567461
"Catawba County, North Carolina",20.8,159551,3.6,10.8,13.2,13.2,5,99.3,101.57,7.402921172
"Chatham County, North Carolina",22.4,74470,3.4,11.9,11.9,9.2,6,98.8,58.78,7.458919797
"Cherokee County, North Carolina",29.4,28612,4.5,14,16.5,13.1,4,85.1,66.51,5.741301283
"Chowan County, North Carolina",32.7,13943,4.7,11.9,19.6,22.3,2,97.5,67.49,5.852007596
"Clay County, North Carolina",23.4,11231,4.5,14.6,15.8,13.6,5,100,58.99,4.466349671
"Cleveland County, North Carolina",36.5,97947,4,12.3,20.2,18.3,2,97.7,59.99,6.83788403
"Columbus County, North Carolina",37.7,55508,4.9,13.7,23.8,23.7,2,98.3,119.98,5.548403651
"Craven County, North Carolina",19,102139,4.1,11.4,15.3,13.9,2,98.5,67.49,5.601359244
"Cumberland County, North Carolina",18,335509,5.1,10.2,18.2,16.9,2,94.4,67.49,5.181326841
"Currituck County, North Carolina",18.7,27763,3.6,13.7,10,8.3,3,99.3,59.99,4.693295571
"Dare County, North Carolina",12.2,37009,4.7,14.9,8.2,8,2,99.1,119.98,4.585754017
"Davidson County, North Carolina",23.6,167609,3.7,11.4,15.5,15.6,4,99.5,62.49,10.89315695
"Davie County, North Carolina",18.5,42846,3.4,10.8,13.7,9.8,7,98.6,57.44,4.632858997
"Duplin County, North Carolina",38.6,58741,4.1,17.9,24.1,20.1,3,98.1,119.98,5.858472735
"Durham County, North Carolina",14.3,321488,3.4,12.2,16,11.2,4,99.2,56.24,7.046165373
"Edgecombe County, North Carolina",38,51472,5.9,11.2,23.6,28,3,99.8,59.99,4.497094549
"Forsyth County, North Carolina",20.3,382295,3.7,11,17.6,11.4,5,100,57.45,8.680176096
"Franklin County, North Carolina",24.1,69685,4,11.2,14.4,15.4,3,98.9,59.99,5.283353289
"Gaston County, North Carolina",22,224529,3.9,10.8,15.6,15.6,2,100,48.29,7.588958677
"Gates County, North Carolina",32,11562,4.1,8.5,11.1,13.1,2,96.9,67.49,4.024076917
"Granville County, North Carolina",23.8,60443,3.4,9.1,13.9,13.6,4,100,42.94,4.267286314
"Greene County, North Carolina",26.8,21069,3.8,16.6,25.7,25,3,99.7,56.24,7.574886536
"Guilford County, North Carolina",27.1,537174,4.1,10.1,15.9,14.4,6,99.2,54.94,8.117567366
"Halifax County, North Carolina",42.5,50010,5.7,11.4,25.2,28.3,5,97.5,103.31,5.152375607
"Harnett County, North Carolina",23.2,135976,4.6,11.3,17,14.6,1,14.6,59.99,6.594940775
"Haywood County, North Carolina",30.4,62317,3.4,10.8,13.9,12.1,3,86,63.32,6.03027481
"Henderson County, North Carolina",20.1,117417,3.3,11.5,10.6,8.4,3,23.3,105,9.640151481
